text,timestamp,like_count
"We are proud PRESIDENT BBM. Very knowledgeable, articulate and confident. God bless you and your family. Also our Vice president. SARA. GOD BLESS YOU BOTH. 🙏🙏❤️❤️🇵🇭🇵🇭",2021-12-07 00:00:00,
We are proud for our next President BBM❤️❤️GOD bless always and protect BBM and his family🙏🙏🙏🇵🇭🇵🇭🇵🇭,2021-12-07 00:00:00,
Mga hindi mahal ng nanay. 😁,2021-12-07 00:00:00,
Robert Basan Abella Jr. malungkot buhay kasi wala Mama Lenlen nila para magkalat 😞😞,2021-12-07 00:00:00,
Robert Basan Abella Jr. Mga bagsak dn sa thesis boss😁,2021-12-07 00:00:00,
Robert Basan Abella Jr. mga .002% lang sila sir😂😂,2021-12-07 00:00:00,
Robert Basan Abella Jr. mga 5 days old babies 😅,2021-12-07 00:00:00,
Robert Basan Abella Jr. nabyag nga alis dagita Sir!,2021-12-07 00:00:00,
mga pinklawan mga yan🤣🤣,2021-12-07 00:00:00,
"Robert Basan Abella Jr. mahal po sila ng nanay nila, si Leni 😂😂",2021-12-07 00:00:00,
Robert Basan Abella Jr. Tinakwil ng pamilya mga yan 🤣,2021-12-07 00:00:00,
"Robert Basan Abella Jr. Kaya ayuko makipag away dito sa comment section kasi baka ma ban nanaman ako ng 30 days. Baka mareport. Kaya hayaan nyo nalang sila at wag pakialaman. Let's Support BBM nalang.
Kahit wala sila respect intindihin nyo nalang.",2021-12-07 00:00:00,
Robert Basan Abella Jr. Salamat daw sabi n BBM sa lahat ng nanonood 😂,2021-12-07 00:00:00,
"Robert Basan Abella Jr. Buti nalang mahal nila anak nila, ung ninakaw nila pinamana kay Bong Bong mo hihi🤭",2021-12-07 00:00:00,
PINK = Pinagbuklod Ito Ng Kabobohan,2021-12-07 00:00:00,
Robert Basan Abella Jr. At may galit emo pa..kaawa naman sila...ginalit ni BBM,2021-12-07 00:00:00,
mga 18 hours din tawa nila 😂,2021-12-07 00:00:00,
Robert Basan Abella Jr. Hahaha pustahan mga ngpapanggap na account karamihan jan BITTER at tulog pa!,2021-12-07 00:00:00,
EJ Subiere same pigil na pigil na rin ako mabait na ko ngyon hahaha wag mo na itanong pang ilan acct na to hahaaha,2021-12-07 00:00:00,
Robert Basan Abella Jr. Mha kulang sa aruga ng inang nila yan🤣,2021-12-07 00:00:00,
Robert Basan Abella Jr. Masaya lng cla kc panalo na c BBM promise,2021-12-07 00:00:00,
